t,data,preco_real,preco_previsto,retorno_pred,acao,energia,pontuacao,erro
10098,2024-12-12 19:00:00+00:00,99481.3203125,99607.03304633664,0.001263681799173355,-1,0.0,57.0,0.00825695414096117
10099,2024-12-12 20:00:00+00:00,100028.0078125,99963.0786840868,-0.0006491094827651978,1,0.0014075063437223438,58.0,0.002448123414069414
10100,2024-12-12 21:00:00+00:00,99760.0078125,99778.77983907843,0.0001881718635559082,-1,0.007122731634974481,59.0,0.001371193677186966
10101,2024-12-12 22:00:00+00:00,100444.0,100409.31323045492,-0.00034533441066741943,0,0.0,59.0,0.009547686204314232
10102,2024-12-12 23:00:00+00:00,100004.2890625,100014.14064268756,9.851157665252686e-05,-1,0.010207340520620346,60.0,0.0002481648698449135
10103,2024-12-13 00:00:00+00:00,100083.2109375,100053.92890696,-0.0002925768494606018,0,0.01810009252056479,61.0,0.0008268120000138879
10104,2024-12-13 01:00:00+00:00,99323.9375,99343.99280916294,0.00020191818475723267,-1,0.0,61.0,0.008699154481291771
10105,2024-12-13 02:00:00+00:00,99484.9921875,99551.79213156868,0.0006714574992656708,1,0.007844834056496618,62.0,0.000838791485875845
10106,2024-12-13 03:00:00+00:00,99729.09375,99876.51578888576,0.0014782249927520752,1,0.014965022781491278,63.0,0.0010199528187513351
10107,2024-12-13 04:00:00+00:00,100000.4609375,100154.28782366274,0.0015382617712020874,0,0.015303510507941244,64.0,0.0027153780683875084
10108,2024-12-13 05:00:00+00:00,99890.0,99994.54913541675,0.0010466426610946655,-1,0.0,64.0,0.005102312657982111
10109,2024-12-13 06:00:00+00:00,99700.0,99724.61046501994,0.00024684518575668335,1,0.0,64.0,0.0045989686623215675
10110,2024-12-13 07:00:00+00:00,100130.0,100199.01268593967,0.0006892308592796326,0,0.0022769127309322356,65.0,0.002230771817266941
10111,2024-12-13 08:00:00+00:00,100272.0,100331.88705003262,0.000597245991230011,1,0.00258795344978571,66.0,0.0027222398202866316
10112,2024-12-13 09:00:00+00:00,100100.0,100222.05664664507,0.0012193471193313599,-1,0.0,66.0,0.004841674119234085
10113,2024-12-13 10:00:00+00:00,100457.6171875,100530.66911960195,0.0007271915674209595,0,0.0,66.0,0.00557946739718318
10114,2024-12-13 11:00:00+00:00,100353.3671875,100518.11114640528,0.0016416385769844055,1,0.0,66.0,0.0077852001413702965
